,total_count,neighborhood
647,1,Brookline
648,1,Central Northside
649,1,Beltzhoover
650,3,Brighton Heights
651,1,Bedford Dwellings
652,1,Larimer
653,1,Larimer
654,1,Homewood North
655,1,Bloomfield
656,1,Garfield
657,1,East Allegheny
658,1,Manchester
659,4,
660,1,Allentown
661,1,Garfield
662,3,Homewood North
663,1,Homewood North
664,1,Homewood South
665,1,Overbrook
666,1,Squirrel Hill South
667,1,South Oakland
668,2,
669,1,
670,1,
671,2,Sheraden
672,1,
673,1,Bloomfield
674,2,Strip District
675,1,Strip District
676,1,Strip District
677,1,Homewood South
678,1,Hazelwood
679,1,Central Business District
680,1,East Liberty
681,1,East Liberty
682,1,Homewood North
683,1,California-Kirkbride
684,1,Beltzhoover
685,1,
686,1,
687,1,Manchester
688,2,Spring Garden
689,1,Troy Hill
690,1,Fineview
691,1,Homewood South
692,1,
693,1,Sheraden
694,1,West Oakland
695,4,Perry North
696,1,Hazelwood
697,1,
698,2,South Side Flats
699,1,Central Northside
700,1,Middle Hill
701,2,Central Northside
702,1,Larimer
703,1,Central Business District
704,1,
705,1,Brighton Heights
706,1,Homewood South
707,4,Point Breeze
708,1,Bedford Dwellings
709,2,Arlington
710,1,Lincoln-Lemington-Belmar
711,2,
712,1,
713,1,
714,1,Central Business District
715,1,South Side Flats
716,1,Perry South
717,1,South Side Flats
718,1,Manchester
719,1,East Hills
720,1,Hazelwood
721,1,Garfield
722,2,Arlington
723,1,Knoxville
724,2,Brookline
725,1,Central Oakland
726,1,South Side Flats
727,1,
728,1,Homewood South
729,1,Perry North
730,1,
731,1,
732,1,Larimer
733,1,
734,2,Sheraden
735,2,Perry North
736,1,Allentown
737,1,Homewood South
738,1,
739,1,Homewood South
740,6,Crafton Heights
741,1,East Hills
742,1,East Hills
743,1,Homewood North
744,1,Crawford-Roberts
745,1,Banksville
746,2,Brighton Heights
747,1,South Side Flats
748,1,Mount Washington
749,1,Larimer
750,1,South Side Flats
751,1,Carrick
752,3,
753,4,
754,1,Bluff
755,2,Perry South
756,1,
757,1,
758,1,Greenfield
759,1,Bloomfield
760,1,Manchester
761,1,Bluff
762,1,Manchester
763,1,Squirrel Hill South
764,1,Homewood South
765,1,Lincoln-Lemington-Belmar
766,1,Sheraden
767,1,Homewood North
768,1,Greenfield
769,1,Knoxville
770,1,
771,1,Brighton Heights
772,1,Mount Washington
773,1,Homewood North
774,1,South Shore
775,1,Knoxville
776,1,Perry North
777,1,East Liberty
778,1,Sheraden
779,1,Glen Hazel
780,1,
781,1,Shadyside
782,1,Allentown
783,1,Perry South
784,1,Homewood South
785,1,Perry South
786,1,Perry South
787,1,Glen Hazel
788,2,Spring Garden
789,1,Lincoln-Lemington-Belmar
790,1,Marshall-Shadeland
791,2,Central Northside
792,1,Troy Hill
793,1,Sheraden
794,1,Marshall-Shadeland
795,1,Hazelwood
796,1,East Hills
797,1,
798,1,Sheraden
799,1,Homewood South
800,1,
801,1,Garfield
802,1,Central Northside
803,2,Manchester
804,1,Mount Washington
805,1,Homewood North
806,1,Central Business District
807,2,Bedford Dwellings
808,1,Perry South
809,1,
810,2,Beechview
811,1,Beechview
812,1,Perry South
813,1,Homewood North
814,1,South Side Flats
815,1,Allentown
816,1,Arlington
817,1,Crawford-Roberts
818,1,Mount Washington
819,1,Highland Park
820,1,Terrace Village
821,1,
822,1,Middle Hill
823,1,Garfield
824,1,Mount Washington
825,2,Elliott
826,1,Squirrel Hill South
827,1,Allegheny West
828,1,
829,1,
830,1,Central Northside
831,1,Marshall-Shadeland
832,1,Homewood South
833,2,
834,1,Marshall-Shadeland
835,1,Manchester
836,3,Upper Lawrenceville
837,1,Perry North
838,1,South Side Flats
839,1,
840,1,Carrick
841,1,Manchester
842,1,
843,1,
844,1,Central Northside
845,1,Manchester
846,1,Brighton Heights
847,1,Overbrook
848,1,
849,1,
850,1,South Side Slopes
851,1,Northview Heights
852,1,Point Breeze North
853,1,
854,1,
855,1,Squirrel Hill South
856,1,West Oakland
857,1,Manchester
858,1,Allentown
859,4,Hazelwood
860,1,Regent Square
861,1,Carrick
862,1,Crafton Heights
863,1,Central Business District
864,3,Carrick
865,1,Manchester
866,1,South Side Flats
867,1,Garfield
868,1,East Hills
869,1,South Side Flats
870,1,
871,1,Central Northside
872,1,Northview Heights
873,1,Arlington
874,1,Hazelwood
875,1,Middle Hill
876,1,Homewood South
877,1,Bedford Dwellings
878,1,Manchester
879,3,
880,4,Allentown
881,1,Spring Hill-City View
882,1,Homewood South
883,1,Shadyside
884,1,Elliott
885,1,Troy Hill
886,2,
887,1,Sheraden
888,1,Bedford Dwellings
889,1,Perry South
890,1,
891,1,Marshall-Shadeland
892,1,Beltzhoover
893,1,Middle Hill
894,1,Garfield
895,5,Brookline
896,1,
897,1,Manchester
898,1,
899,2,Glen Hazel
900,1,Knoxville
901,1,Lincoln-Lemington-Belmar
902,5,Hazelwood
903,1,Squirrel Hill South
904,1,East Allegheny
905,1,Sheraden
906,1,Homewood North
907,1,Crafton Heights
908,1,
909,2,Homewood West
910,1,Homewood South
911,1,Crafton Heights
912,1,Sheraden
913,1,Brookline
914,1,
915,1,Homewood South
916,1,East Hills
917,1,East Hills
918,1,Hazelwood
919,1,Beltzhoover
920,2,South Side Flats
921,1,Homewood North
922,1,Highland Park
923,3,Larimer
924,1,Beltzhoover
925,1,South Shore
926,1,Manchester
927,1,Carrick
928,1,Central Business District
929,1,Homewood West
930,1,
931,1,Overbrook
932,1,Troy Hill
933,1,Marshall-Shadeland
934,1,Garfield
935,1,Homewood South
936,1,Troy Hill
937,1,Spring Hill-City View
938,1,Central Business District
939,1,Arlington Heights
940,3,Fineview
941,1,Chateau
942,1,Lincoln-Lemington-Belmar
943,1,Manchester
944,2,Garfield
945,1,Allegheny Center
946,2,Garfield
947,1,Beechview
948,1,West Oakland
949,1,Homewood West
950,1,Lincoln-Lemington-Belmar
951,1,
952,1,Lincoln-Lemington-Belmar
953,1,West Oakland
954,1,Homewood North
955,1,Perry North
956,3,Lincoln-Lemington-Belmar
957,1,East Allegheny
958,1,South Side Flats
959,1,Manchester
960,1,
961,1,Banksville
962,1,
963,1,Garfield
964,1,Elliott
965,1,Homewood South
966,1,Northview Heights
967,1,East Liberty
968,1,Bedford Dwellings
969,1,Brighton Heights
970,1,
971,2,Crafton Heights
972,1,Troy Hill
973,1,Homewood South
974,1,Bedford Dwellings
975,1,Marshall-Shadeland
976,1,Sheraden
977,1,East Liberty
978,1,Brookline
979,1,
980,1,Manchester
981,1,
982,1,Crafton Heights
983,2,East Hills
984,1,Perry South
985,3,Terrace Village
986,1,Central Lawrenceville
987,1,Middle Hill
988,1,South Side Flats
989,1,Central Northside
990,1,Manchester
991,1,Bedford Dwellings
992,1,Homewood South
993,1,
994,1,Central Business District
995,2,Brighton Heights
996,1,
997,1,Middle Hill
998,2,
999,1,
1000,2,Bloomfield
1001,1,Sheraden
1002,1,Spring Hill-City View
1003,1,Central Northside
1004,1,Point Breeze
1005,1,Fineview
1006,1,East Liberty
1007,1,Homewood West
1008,1,Central Northside
1009,12,Central Northside
1010,1,
1011,1,Middle Hill
1012,1,Mount Washington
1013,1,Bedford Dwellings
1014,1,Beltzhoover
1015,1,Crawford-Roberts
1016,2,St. Clair
1017,1,
1018,1,Duquesne Heights
1019,1,Central Business District
1020,1,Lower Lawrenceville
1021,1,Sheraden
1022,1,Middle Hill
1023,1,Central Northside
1024,1,
1025,1,
1026,1,Carrick
1027,1,Lincoln-Lemington-Belmar
1028,1,West Oakland
1029,1,Point Breeze North
1030,1,Central Business District
1031,1,
1032,1,Shadyside
1033,1,Spring Hill-City View
1034,1,
1035,1,Shadyside
1036,1,East Hills
1037,1,
1038,1,Oakwood
1039,1,Homewood West
1040,1,Stanton Heights
1041,1,Central Business District
1042,1,Bloomfield
1043,1,California-Kirkbride
1044,1,Brighton Heights
1045,2,
1046,1,Larimer
1047,2,Point Breeze North
1048,1,Homewood South
1049,1,
1050,1,Brookline
1051,1,Bluff
1052,1,Spring Hill-City View
1053,1,Upper Lawrenceville
1054,1,Shadyside
1055,1,Mount Washington
1056,1,East Liberty
1057,1,Knoxville
1058,4,Northview Heights
1059,1,Squirrel Hill South
1060,1,Perry North
1061,3,Knoxville
1062,1,
1063,1,California-Kirkbride
1064,2,Homewood South
1065,6,Mount Washington
1066,1,Terrace Village
1067,1,Sheraden
1068,1,Crafton Heights
1069,2,Spring Hill-City View
1070,1,
1071,1,Homewood South
1072,1,
1073,1,West Oakland
1074,1,
1075,1,Homewood North
1076,1,
1077,1,Fineview
1078,1,Bedford Dwellings
1079,1,Larimer
1080,1,Homewood North
1081,2,Brookline
1082,1,Central Oakland
1083,1,Knoxville
1084,1,Carrick
1085,2,Point Breeze North
1086,2,Homewood South
1087,2,
1088,1,East Liberty
1089,3,Middle Hill
1090,1,Mount Oliver Borough
1091,1,Middle Hill
1092,1,Perry North
1093,3,Homewood North
1094,1,Hazelwood
1095,1,Knoxville
1096,1,Larimer
1097,1,Crawford-Roberts
1098,1,Upper Hill
1099,5,Crawford-Roberts
1100,1,Garfield
1101,1,Windgap
1102,1,Crawford-Roberts
1103,2,Bluff
1104,1,East Hills
1105,3,East Liberty
1106,1,Marshall-Shadeland
1107,1,
1108,1,Carrick
1109,2,Middle Hill
1110,2,Brighton Heights
1111,1,Homewood North
1112,1,Beechview
1113,1,Greenfield
1114,1,South Side Flats
1115,1,South Side Slopes
1116,1,Strip District
1117,1,Garfield
1118,1,Beechview
1119,1,Middle Hill
1120,2,Carrick
1121,1,South Side Flats
1122,1,South Side Flats
1123,1,Larimer
1124,1,Allegheny West
1125,1,East Liberty
1126,1,Homewood South
1127,1,Perry South
1128,1,Point Breeze North
1129,1,Polish Hill
1130,1,Shadyside
1131,1,South Side Slopes
1132,1,Hazelwood
1133,1,East Hills
1134,2,Larimer
1135,1,Overbrook
1136,1,South Side Flats
1137,1,Bloomfield
1138,1,Central Northside
1139,1,Bloomfield
1140,1,Carrick
1141,3,East Hills
1142,1,
1143,1,Central Business District
1144,1,
1145,2,
1146,1,
1147,1,
1148,1,Upper Lawrenceville
1149,1,
1150,1,Highland Park
1151,1,
1152,1,Middle Hill
1153,1,Middle Hill
1154,2,Larimer
1155,1,
1156,1,Beltzhoover
1157,1,Hazelwood
1158,1,Crawford-Roberts
1159,1,Westwood
1160,1,Northview Heights
1161,1,Bon Air
1162,1,Bluff
1163,1,Crawford-Roberts
1164,1,East Liberty
1165,1,Arlington
1166,1,Brookline
1167,1,Hazelwood
1168,1,Duquesne Heights
1169,1,Brighton Heights
1170,1,Sheraden
1171,2,Marshall-Shadeland
1172,1,
1173,1,South Side Flats
1174,1,
1175,1,Fairywood
1176,1,Central Oakland
1177,1,
1178,2,Bluff
1179,1,Beechview
1180,1,Beechview
1181,1,Larimer
1182,1,Knoxville
1183,1,Hazelwood
1184,2,Sheraden
1185,1,Bluff
1186,1,South Side Flats
1187,1,North Shore
1188,1,Carrick
1189,1,Northview Heights
1190,1,Crawford-Roberts
1191,1,Mount Washington
1192,1,Homewood South
1193,1,Knoxville
1194,2,Hazelwood
1195,1,Marshall-Shadeland
1196,1,East Hills
1197,1,Beechview
1198,2,
1199,1,Knoxville
1200,1,Spring Hill-City View
1201,2,
1202,1,
1203,2,Mount Oliver Borough
1204,1,
1205,1,Carrick
1206,2,South Side Flats
1207,1,Lincoln-Lemington-Belmar
1208,1,Elliott
1209,1,Lincoln-Lemington-Belmar
1210,1,Perry South
1211,1,Larimer
1212,1,Fineview
1213,3,Fineview
1214,1,South Side Flats
1215,1,Brighton Heights
1216,1,Allentown
1217,1,Crawford-Roberts
1218,1,South Side Flats
1219,1,Larimer
1220,2,East Liberty
1221,1,Troy Hill
1222,1,Brighton Heights
1223,2,Hazelwood
1224,1,East Allegheny
1225,2,Marshall-Shadeland
1226,1,Duquesne Heights
1227,1,Lincoln-Lemington-Belmar
1228,1,Sheraden
1229,1,South Side Flats
1230,1,Hazelwood
1231,1,Homewood South
1232,5,North Shore
1233,1,Bluff
1234,1,Central Business District
1235,1,Crawford-Roberts
1236,1,Garfield
1237,1,Homewood South
1238,1,Knoxville
1239,1,Central Business District
1240,1,South Side Slopes
1241,1,South Side Slopes
1242,1,Larimer
1243,1,
1244,1,South Side Flats
1245,1,Carrick
1246,1,Perry South
1247,1,Point Breeze North
1248,1,Troy Hill
1249,1,
1250,1,Central Business District
1251,1,Perry South
1252,1,Marshall-Shadeland
1253,1,
1254,1,South Side Slopes
1255,1,Central Business District
1256,1,Sheraden
1257,1,Perry North
1258,1,
1259,2,Knoxville
1260,1,Central Business District
1261,1,
1262,1,Terrace Village
1263,1,Middle Hill
1264,2,Terrace Village
1265,1,Mount Washington
1266,1,Sheraden
1267,2,Sheraden
1268,1,Upper Hill
1269,1,Beechview
1270,1,Lincoln Place
1271,3,Elliott
1272,1,
1273,1,Homewood South
1274,1,Central Business District
1275,4,Squirrel Hill South
1276,1,
1277,1,Homewood West
1278,1,Allegheny West
1279,1,Garfield
1280,1,South Shore
1281,1,
